Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,54.959,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673,64.047
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,73.588,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345,78.495
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,69.822,70.292,70.778,71.276,71.78,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078,76.293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,46.105,47.113,48.2,49.341,50.508,51.676,52.833,53.974,55.096,56.189,57.231,58.192,59.042,59.77,60.373,60.858,61.241,61.547,61.809
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.327,73.541,73.752,73.957,74.158,74.354,74.544,74.727,74.905,75.078,75.247,75.412,75.574,75.733,75.892,76.05,76.207,76.364,76.519
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.618,73.832,74.039,74.236,74.424,74.603,74.775,74.941,75.105,75.268,75.431,75.595,75.761,75.926,76.089,76.252,76.415,76.577,76.738
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,70.944,71.409,71.8,72.112,72.347,72.512,72.625,72.715,72.815,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618,74.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.016,75.158,75.299,75.44,75.582,75.725,75.867,76.01
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.49756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.491,66.763,67.054,67.391,67.791,68.249,68.75,69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026,72.123
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.093,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675,75.823
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9,77.038
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,64.702,65.324,65.903,66.448,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489,72.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,73.213,73.377,73.535,73.691,73.847,74.004,74.163,74.324,74.486,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906,76.057
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.43902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,68.4,68.329,68.356,68.46,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384,70.588
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907,61.171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,..,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,59.899,60.758,61.625,62.484,63.322,64.126,64.882,65.578,66.214,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197,70.565
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,60.122,60.69,61.26,61.829,62.399,62.968,63.538,64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125,69.473
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,74.057,74.413,74.653,74.824,74.967,75.096,75.223,75.353,75.486,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911,77.087
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,49.712,49.03,48.838,49.108,49.788,50.832,52.165,53.695,55.312,56.919,58.45,59.868,61.179,62.425,63.63,64.78,65.846,66.797,67.618
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,69.599,70.055,70.486,70.896,71.29,71.67,72.04,72.405,72.768,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509,75.723
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,74.985,75.202,75.425,75.65,75.875,76.093,76.291,76.455,76.577,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203,77.374
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,50.168,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361,60.77
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,51.213,51.545,51.779,51.977,52.19,52.437,52.735,53.09,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481,57.857
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,69.086,69.747,70.358,70.882,71.293,71.584,71.76,71.842,71.869,71.881,71.899,71.941,72.019,72.127,72.259,72.418,72.599,72.798,73.004
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,57.604,58.432,59.335,60.283,61.241,62.186,63.088,63.927,64.695,65.391,66.01,66.555,67.034,67.466,67.868,68.251,68.62,68.981,69.331
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,49.7,50.026,50.495,51.059,51.671,52.301,52.916,53.494,54.033,54.535,54.996,55.424,55.832,56.241,56.665,57.111,57.582,58.073,58.575
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,78.88536585,79.13658537,79.33902439,79.4902439,79.74146341,79.89268293,80.19268293,80.34390244,80.54390244,80.69512195,80.99512195,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,82.3005122,82.4704878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,82.1902439,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,44.254,43.937,43.755,43.718,43.827,44.08,44.466,44.967,45.552,46.19,46.862,47.56,48.284,49.041,49.825,50.621,51.41,52.171,52.89
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,47.59,47.593,47.603,47.638,47.716,47.848,48.054,48.349,48.729,49.182,49.691,50.233,50.778,51.3,51.778,52.204,52.575,52.903,53.208
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,77.358,77.602,77.864,78.137,78.417,78.699,78.975,79.241,79.493,79.729,79.947,80.145,80.326,80.494,80.654,80.807,80.958,81.107,81.255
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,76.533,76.793,77.034,77.255,77.453,77.632,77.791,77.934,78.066,78.193,78.32,78.454,78.599,78.758,78.931,79.117,79.315,79.522,79.732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,71.521,71.955,72.401,72.84,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932,76.092,76.252,76.41
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,70.727,71.019,71.293,71.556,71.813,72.062,72.303,72.532,72.749,72.952,73.143,73.325,73.5,73.673,73.847,74.022,74.2,74.381,74.562
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,59.388,59.46,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.596,62.923,63.216,63.473,63.701,63.912
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,49.557,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.907,57.418,57.894,58.347,58.782,59.205,59.621,60.031
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,51.473,51.397,51.577,52.017,52.703,53.608,54.687,55.881,57.115,58.321,59.452,60.473,61.37,62.169,62.89,63.536,64.112,64.625,65.088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,77.288,77.448,77.597,77.736,77.868,77.993,78.114,78.234,78.355,78.481,78.613,78.756,78.911,79.077,79.254,79.44,79.634,79.831,80.03
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,46.969,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.52,53.053,53.582,54.102
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,72.64195122,72.80780488,74.51292683,74.71731707,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,76.437,76.658,76.88,77.119,77.381,77.663,77.95,78.225,78.469,78.672,78.833,78.959,79.064,79.167,79.282,79.415,79.57,79.742,79.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..,..,..,..,..,..,..,74.7097561,75.36341463,75.3097561,76.15609756,..,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,77.876,78.01,78.14,78.264,78.386,78.506,78.631,78.764,78.911,79.071,79.245,79.43,79.62,79.81,79.995,80.173,80.344,80.508,80.67
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,74.66829268,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,79.47560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,76.34146341,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.00487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,56.992,57.021,57.1,57.233,57.424,57.677,57.999,58.393,58.848,59.345,59.865,60.383,60.87,61.31,61.691,62.006,62.26,62.465,62.643
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..,..,76.59756098,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,70.374,70.568,70.775,70.99,71.207,71.425,71.644,71.862,72.078,72.29,72.498,72.702,72.901,73.098,73.292,73.483,73.673,73.861,74.048
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,72.624,72.933,73.22,73.482,73.72,73.937,74.136,74.322,74.501,74.678,74.859,75.046,75.244,75.449,75.661,75.879,76.102,76.327,76.551
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,68.368,68.613,68.807,68.972,69.127,69.282,69.444,69.618,69.797,69.98,70.167,70.357,70.55,70.742,70.933,71.12,71.304,71.484,71.661
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,68.541,68.834,69.135,69.44,69.743,70.048,70.357,70.668,70.98,71.291,71.599,71.902,72.195,72.479,72.753,73.015,73.267,73.512,73.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,52.371,52.752,53.099,53.415,53.709,53.987,54.262,54.55,54.858,55.19,55.543,55.908,56.265,56.601,56.905,57.18,57.434,57.681,57.939
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,54.693,55.258,55.847,56.483,57.174,57.916,58.691,59.472,60.23,60.94,61.591,62.181,62.718,63.22,63.703,64.174,64.636,65.092,65.536
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,70.06341463,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,77.64146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,49.968,48.521,47.352,46.508,46.018,45.905,46.185,46.846,47.805,48.969,50.26,51.598,52.912,54.158,55.296,56.287,57.107,57.754,58.268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,51.366,51.94,52.593,53.347,54.209,55.172,56.221,57.333,58.466,59.58,60.643,61.625,62.501,63.275,63.952,64.535,65.037,65.475,65.874
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,78.2804878,78.43414634,78.63658537,78.78780488,78.9902439,79.1902439,79.44146341,79.6902439,79.8902439,80.13902439,80.38780488,80.58780488,80.8902439,81.14146341,81.39268293,81.69512195,81.94634146,82.19756098,82.4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.365,67.553,67.734,67.91,68.079,68.243,68.405,68.569,68.737,68.909,69.087,69.267,69.448,69.625,69.796,69.96,70.117,70.269,70.417
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,77.29121951,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.42926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,78.75609756,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,82.32195122,82.52439024,82.52439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,71.955,72.313,72.669,73.029,73.396,73.766,74.132,74.486,74.818,75.123,75.397,75.643,75.862,76.065,76.257,76.444,76.628,76.813,76.996
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,59.527,59.302,59.171,59.154,59.266,59.512,59.89,60.388,60.969,61.597,62.247,62.893,63.519,64.119,64.686,65.211,65.685,66.105,66.48
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193,61.424
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,71.596,71.907,72.182,72.408,72.575,72.682,72.73,72.73,72.704,72.673,72.65,72.649,72.68,72.742,72.832,72.951,73.096,73.261,73.436
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.9902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,56.962,56.994,57.147,57.41,57.761,58.187,58.666,59.167,59.663,60.128,60.55,60.924,61.254,61.561,61.86,62.154,62.448,62.742,63.033
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,77.98780488,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.38780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,66.40341463,66.96341463,67.60780488,68.16268293,68.43536585,68.80682927,69.22073171,69.51926829,69.98268293,70.21341463,70.46780488,70.85707317,71.06243902,71.29902439,71.8304878,71.53841463,71.24634146,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,70.131,70.337,70.551,70.77,70.991,71.213,71.438,71.667,71.903,72.142,72.383,72.618,72.84,73.044,73.227,73.388,73.531,73.659,73.78
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,74.646,75.01,75.369,75.715,76.047,76.362,76.663,76.956,77.249,77.543,77.84,78.134,78.419,78.689,78.938,79.168,79.379,79.575,79.763
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,67.351,67.849,68.304,68.717,69.092,69.437,69.763,70.085,70.415,70.76,71.122,71.494,71.867,72.227,72.562,72.869,73.15,73.409,73.654
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,51.273,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015,60.617
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,52.079,52.27,52.45,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.05,55.424,55.807,56.2,56.598,57,57.403,57.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,64.785,64.93,65.065,65.192,65.313,65.428,65.538,65.642,65.741,65.836,65.929,66.022,66.117,66.216,66.318,66.425,66.536,66.65,66.766
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,57.467,57.716,57.969,58.239,58.535,58.86,59.219,59.61,60.023,60.448,60.876,61.296,61.699,62.078,62.432,62.757,63.055,63.33,63.589
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,70.288,70.537,70.756,70.957,71.15,71.341,71.532,71.724,71.911,72.093,72.27,72.446,72.624,72.805,72.99,73.181,73.376,73.575,73.774
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,80.38292683,80.87804878,81.42439024,81.42682927,81.37804878,81.82926829,81.62926829,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,70.67707317,71.24634146,72.24878049,72.34878049,72.3,72.64878049,72.64878049,73.09756098,73.15121951,73.70243902,73.90487805,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,76.06341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,79.35121951,79.65365854,80.6902439,80.50243902,80.96341463,80.99756098,81.50243902,81.15853659,81.45365854,81.6097561,81.75121951,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.20487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,62.179,62.582,62.977,63.368,63.759,64.154,64.556,64.966,65.383,65.802,66.219,66.625,67.013,67.377,67.714,68.021,68.302,68.56,68.803
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,66.087,66.285,66.467,66.643,66.82,67.002,67.191,67.386,67.581,67.775,67.964,68.15,68.331,68.509,68.684,68.856,69.025,69.191,69.355
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,69.775,70.144,70.526,70.899,71.249,71.582,71.912,72.259,72.635,73.044,73.481,73.932,74.375,74.787,75.153,75.466,75.73,75.953,76.153
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.183,69.169,69.081,68.932,68.742,68.537,68.35,68.217,68.156,68.177,68.283,68.465,68.702,68.963,69.219,69.458,69.672,69.862,70.038
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,76.08292683,76.53658537,77.13414634,77.63414634,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854,81.70487805,81.95609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,..,77.96585366,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
